,NE_L3,NE_L4,NE_L5
No Cont,97.462801,47.55381,23.450888
NW-NE_L1,0.0,0.0,0.0
NW-NE_L2,0.0,0.0,0.0
NW-NE_L3,0.0,0.0,0.0
NW-NE_L4,0.0,0.0,0.0
NW-SW_L1,0.0,0.0,0.0
NW-SW_L2,0.0,0.0,0.0
NW_L2,0.0,0.0,0.0
NW_L3,0.0,0.0,0.0
SE_L1,0.0,0.0,0.0
NE-SE_L1,0.0,0.0,0.0
SE_L2,0.0,0.0,0.0
SE_L3,0.0,0.0,0.0
SW_L1,0.0,0.0,0.0
SW_L2,0.0,0.0,0.0
SW_L3,0.0,0.0,0.0
SW_L4,0.0,0.0,0.0
SW_L5,0.0,0.0,0.0
NE-SE_L2,0.0,0.0,0.0
NE-SW_L1,0.0,0.0,0.0
NE_L1,0.0,0.0,0.0
NE_L2,0.0,0.0,0.0
NE_L3,0.0,142.405131,118.10016
NE_L4,143.997839,0.0,0.0
NE_L5,119.109446,0.0,0.0
Double West Interconnector,0.0,0.0,0.0
NW_L1,0.0,0.0,0.0
NW_L1,0.0,0.0,0.0
